block size,buffer size,time
2,2,3.411888
2,4,3.260301
2,8,3.112999
2,16,3.062028
2,32,3.22064
2,64,3.077814
2,128,3.045456
2,256,2.992297
2,512,3.075597
2,1024,3.017312
2,2048,2.982484
2,4096,3.097961
2,8192,2.819521
2,16384,3.129981
2,32768,2.930514
2,65536,2.798128
2,131072,2.94493
2,262144,2.761368
2,524288,2.627336
4,2,1.726014
4,4,1.637135
4,8,1.606955
4,16,1.568933
4,32,1.517059
4,64,1.436942
4,128,1.572078
4,256,1.518233
4,512,1.387143
4,1024,1.459931
4,2048,1.49849
4,4096,1.483498
4,8192,1.423291
4,16384,1.470719
4,32768,1.464136
4,65536,1.390209
4,131072,1.250786
4,262144,1.217667
4,524288,1.162466
8,2,0.855324
8,4,0.803691
8,8,0.781839
8,16,0.769957
8,32,0.733979
8,64,0.773282
8,128,0.790119
8,256,0.743748
8,512,0.674656
8,1024,0.79369
8,2048,0.659439
8,4096,0.690273
8,8192,0.695659
8,16384,0.719224
8,32768,0.653311
8,65536,0.568764
8,131072,0.672685
8,262144,0.517959
8,524288,0.631743
16,2,0.421128
16,4,0.397076
16,8,0.382986
16,16,0.399713
16,32,0.312881
16,64,0.402237
16,128,0.367299
16,256,0.354413
16,512,0.342095
16,1024,0.338742
16,2048,0.366871
16,4096,0.310704
16,8192,0.374429
16,16384,0.315807
16,32768,0.309761
16,65536,0.26673
16,131072,0.260357
16,262144,0.248394
16,524288,0.240606
32,2,0.217916
32,4,0.20083
32,8,0.204452
32,16,0.20996
32,32,0.206569
32,64,0.165237
32,128,0.169893
32,256,0.175481
32,512,0.164909
32,1024,0.146699
32,2048,0.155817
32,4096,0.145368
32,8192,0.164542
32,16384,0.150327
32,32768,0.137386
32,65536,0.150512
32,131072,0.170728
32,262144,0.142071
32,524288,0.144747
64,2,0.108378
64,4,0.086706
64,8,0.107121
64,16,0.097165
64,32,0.083705
64,64,0.08337
64,128,0.096966
64,256,0.089977
64,512,0.084706
64,1024,0.081839
64,2048,0.088283
64,4096,0.080185
64,8192,0.076234
64,16384,0.084533
64,32768,0.072123
64,65536,0.065853
64,131072,0.07835
64,262144,0.067537
64,524288,0.074086
128,2,0.059678
128,4,0.053498
128,8,0.058697
128,16,0.054768
128,32,0.053521
128,64,0.043518
128,128,0.048229
128,256,0.054067
128,512,0.043431
128,1024,0.042191
128,2048,0.044024
128,4096,0.052148
128,8192,0.044036
128,16384,0.043669
128,32768,0.051423
128,65536,0.049367
128,131072,0.040755
128,262144,0.041896
128,524288,0.043757
256,2,0.036562
256,4,0.029991
256,8,0.033599
256,16,0.031141
256,32,0.030071
256,64,0.029336
256,128,0.028582
256,256,0.033267
256,512,0.034518
256,1024,0.029027
256,2048,0.027762
256,4096,0.033477
256,8192,0.032798
256,16384,0.031773
256,32768,0.032181
256,65536,0.027909
256,131072,0.031737
256,262144,0.026324
256,524288,0.032394
512,2,0.025896
512,4,0.025388
512,8,0.026214
512,16,0.023783
512,32,0.023742
512,64,0.025985
512,128,0.017654
512,256,0.025777
512,512,0.021173
512,1024,0.024348
512,2048,0.020359
512,4096,0.023953
512,8192,0.021359
512,16384,0.021514
512,32768,0.024169
512,65536,0.02184
512,131072,0.022424
512,262144,0.025166
512,524288,0.022678
1024,2,0.0198
1024,4,0.015273
1024,8,0.020373
1024,16,0.015172
1024,32,0.022203
1024,64,0.013192
1024,128,0.02172
1024,256,0.016807
1024,512,0.017955
1024,1024,0.021761
1024,2048,0.022598
1024,4096,0.022681
1024,8192,0.019573
1024,16384,0.022764
1024,32768,0.026758
1024,65536,0.020516
1024,131072,0.023282
1024,262144,0.021302
1024,524288,0.024894
2048,2,0.017983
2048,4,0.012337
2048,8,0.022972
2048,16,0.016924
2048,32,0.013693
2048,64,0.019001
2048,128,0.016012
2048,256,0.014441
2048,512,0.024984
2048,1024,0.020691
2048,2048,0.023076
2048,4096,0.019545
2048,8192,0.016705
2048,16384,0.022637
2048,32768,0.023263
2048,65536,0.021301
2048,131072,0.018774
2048,262144,0.019696
2048,524288,0.022744
4096,2,0.021634
4096,4,0.021697
4096,8,0.022517
4096,16,0.016123
4096,32,0.014583
4096,64,0.021497
4096,128,0.018116
4096,256,0.01854
4096,512,0.021558
4096,1024,0.020204
4096,2048,0.01831
4096,4096,0.019011
4096,8192,0.018906
4096,16384,0.017221
4096,32768,0.015867
4096,65536,0.01958
4096,131072,0.01545
4096,262144,0.013861
4096,524288,0.024339
8192,2,0.015957
8192,4,0.010925
8192,8,0.011155
8192,16,0.026598
8192,32,0.014848
8192,64,0.021958
8192,128,0.02076
8192,256,0.016741
8192,512,0.017154
8192,1024,0.019793
8192,2048,0.019008
8192,4096,0.021229
8192,8192,0.016415
8192,16384,0.028145
8192,32768,0.017828
8192,65536,0.019562
8192,131072,0.020343
8192,262144,0.020031
8192,524288,0.017633
16384,2,0.01909
16384,4,0.015639
16384,8,0.010983
16384,16,0.020885
16384,32,0.01964
16384,64,0.018892
16384,128,0.016763
16384,256,0.018671
16384,512,0.015554
16384,1024,0.019128
16384,2048,0.016082
16384,4096,0.019524
16384,8192,0.019763
16384,16384,0.020505
16384,32768,0.020565
16384,65536,0.016353
